                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4634,                  4.995,                 1.9597,                0.07522,                0.19205,                0.12183,                0.08264,                 1.6417,                  3.842,                 1.4882,              6.666e-05,              6.666e-05,              6.666e-05
                      2,                 2.1669,                 3.2897,                 1.7305,                0.31729,                0.44478,                0.37489,                0.16259,                 1.8122,                 2.4453,                 1.4309,             0.00014441,             0.00014441,             0.00014441
                      3,                 1.7051,                 1.7973,                 1.3511,                0.61459,                0.68374,                0.63623,                0.21118,                 2.2026,                 2.0526,                 1.7108,              0.0002221,              0.0002221,              0.0002221
                      4,                 1.4929,                 1.2722,                 1.2669,                0.61928,                0.56948,                0.60345,                0.22486,                 2.1191,                 1.9499,                 1.6567,             0.00029968,             0.00029968,             0.00029968
                      5,                 1.5107,                 1.1183,                 1.2765,                0.70142,                0.62653,                0.70433,                0.25553,                  2.224,                 1.6369,                 1.7191,             0.00037708,             0.00037708,             0.00037708
                      6,                 1.4438,                 1.0657,                 1.2351,                0.76291,                0.69614,                0.77876,                0.31046,                 2.0952,                 1.4994,                 1.7118,             0.00045427,             0.00045427,             0.00045427
                      7,                 1.4803,                  1.016,                 1.2438,                0.75973,                0.48804,                0.58309,                0.25954,                 1.9306,                 1.7812,                 1.5626,              0.0005312,              0.0005312,              0.0005312
                      8,                 1.3944,                0.94767,                 1.2216,                0.67978,                0.52183,                0.60258,                0.29878,                 1.8616,                 2.1738,                 1.5517,             0.00060781,             0.00060781,             0.00060781
                      9,                 1.4197,                0.96124,                 1.2147,                0.69034,                0.57896,                0.64413,                0.23858,                  2.031,                 1.8437,                  1.681,             0.00068405,             0.00068405,             0.00068405
                     10,                 1.5428,                0.98144,                 1.2806,                0.64782,                0.46888,                0.57658,                0.26537,                 1.9777,                 2.6263,                 1.6868,             0.00075987,             0.00075987,             0.00075987
                     11,                 1.4431,                0.93872,                 1.2275,                0.71154,                0.44706,                0.55933,                 0.2941,                 1.7365,                 2.1332,                 1.5369,             0.00083523,             0.00083523,             0.00083523
                     12,                 1.4483,                0.89838,                 1.2464,                0.54481,                0.41866,                0.45097,                0.23262,                  1.875,                 2.3108,                 1.5913,             0.00091007,             0.00091007,             0.00091007
                     13,                 1.4844,                0.93903,                 1.2316,                0.71071,                0.52718,                0.64519,                0.31758,                 1.7559,                 2.0575,                 1.5026,             0.00098435,             0.00098435,             0.00098435
                     14,                 1.4539,                0.92925,                  1.249,                0.58924,                0.43697,                 0.3871,                0.20486,                  1.962,                 9.0017,                 1.6595,               0.001058,               0.001058,               0.001058
                     15,                 1.4689,                0.94512,                 1.2562,                0.28985,                 0.2682,                0.19022,                0.09333,                 2.2727,                    inf,                 2.1766,              0.0010875,              0.0010875,              0.0010875
