                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4571,                  1.595,                 1.4892,                0.78987,                0.51702,                0.66179,                0.40471,                 1.6323,                 1.1488,                  1.499,             0.00036622,             0.00036622,             0.00036622
                      2,                  1.306,                 1.0804,                 1.3881,                 0.8453,                0.39444,                0.62726,                 0.4232,                  1.515,                   1.31,                 1.5017,             0.00073637,             0.00073637,             0.00073637
                      3,                 1.3337,                 1.1025,                 1.4084,                0.68686,                0.58821,                0.65828,                0.42592,                 1.4263,                 1.4101,                 1.4668,              0.0011058,              0.0011058,              0.0011058
                      4,                 1.3214,                 1.0902,                 1.4043,                0.77942,                0.61372,                0.71513,                0.44008,                 1.5231,                 1.1906,                 1.4722,              0.0011086,              0.0011086,              0.0011086
                      5,                 1.2806,                 1.0258,                 1.3769,                0.82024,                0.59047,                0.70763,                0.45463,                 1.4587,                 1.0409,                 1.4105,              0.0011067,              0.0011067,              0.0011067
                      6,                 1.2571,                0.99024,                 1.3585,                0.84603,                0.54963,                0.70592,                0.47925,                 1.3884,                0.95286,                 1.3873,              0.0011042,              0.0011042,              0.0011042
                      7,                 1.2314,                0.95948,                 1.3478,                0.85105,                0.57197,                0.72352,                 0.5028,                 1.2904,                0.97623,                 1.3412,              0.0011013,              0.0011013,              0.0011013
                      8,                 1.2087,                0.93507,                 1.3331,                0.90267,                0.56425,                0.73842,                0.50672,                 1.3115,                0.89999,                 1.3463,              0.0010978,              0.0010978,              0.0010978
                      9,                 1.1965,                0.92367,                 1.3305,                 0.8522,                0.58687,                0.72691,                0.52592,                 1.2155,                0.82195,                 1.2893,              0.0010937,              0.0010937,              0.0010937
                     10,                 1.1852,                0.89712,                  1.317,                0.90765,                 0.5511,                0.73305,                0.54822,                 1.1472,                0.81257,                 1.2551,              0.0010892,              0.0010892,              0.0010892
                     11,                 1.1775,                0.89441,                 1.3114,                0.90684,                0.57738,                0.74833,                0.54757,                 1.1819,                0.79695,                 1.2548,              0.0010841,              0.0010841,              0.0010841
                     12,                 1.1525,                0.86727,                 1.2993,                0.90149,                0.54093,                0.72373,                0.53724,                 1.1795,                0.77883,                 1.2683,              0.0010785,              0.0010785,              0.0010785
                     13,                 1.1497,                0.86084,                 1.2955,                0.92071,                0.56542,                0.74925,                0.55925,                 1.1406,                0.76542,                 1.2402,              0.0010724,              0.0010724,              0.0010724
