                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.621,                  4.301,                 2.0342,                0.11858,                0.13694,                0.06843,                0.02747,                 2.1056,                 3.7184,                 1.6864,              6.666e-05,              6.666e-05,              6.666e-05
                      2,                 2.2876,                 3.2412,                  1.783,                0.48431,                0.23903,                 0.1746,                0.08072,                 1.7613,                 3.7635,                 1.4326,             0.00014441,             0.00014441,             0.00014441
                      3,                 1.7484,                 2.0171,                  1.438,                0.29039,                0.29985,                0.21206,                  0.096,                 1.8058,                  3.245,                 1.4639,              0.0002221,              0.0002221,              0.0002221
                      4,                 1.6353,                 1.6815,                 1.3434,                0.20432,                0.22515,                0.12866,                0.06464,                 1.7055,                 3.3278,                 1.3719,             0.00029968,             0.00029968,             0.00029968
                      5,                 1.5529,                 1.4802,                 1.3372,                0.20429,                0.28781,                0.10519,                0.05088,                 1.7043,                 4.7247,                 1.3483,             0.00037708,             0.00037708,             0.00037708
                      6,                 1.5522,                 1.3193,                 1.3077,                0.30269,                 0.3222,                0.24412,                0.12183,                 1.7275,                 2.8394,                  1.391,             0.00045427,             0.00045427,             0.00045427
                      7,                 1.5915,                 1.2373,                 1.3265,                0.36425,                0.29666,                0.27596,                0.14692,                 1.6321,                 2.6251,                 1.3771,              0.0005312,              0.0005312,              0.0005312
                      8,                 1.4991,                 1.1027,                 1.3092,                0.44003,                0.30905,                0.26161,                0.12461,                 1.7051,                 3.0175,                 1.4252,             0.00060781,             0.00060781,             0.00060781
                      9,                 1.5362,                 1.1234,                 1.3126,                0.35025,                0.29081,                0.26756,                 0.1316,                 1.7148,                 2.9004,                 1.4721,             0.00068405,             0.00068405,             0.00068405
                     10,                 1.5252,                 1.0753,                 1.3026,                0.35504,                0.26287,                0.17996,                0.07988,                 1.8955,                 3.3043,                 1.5455,             0.00075987,             0.00075987,             0.00075987
